Abe	Abe,	0.8364627957344055	Rouch	0.8200197219848633	Namittag	0.8066568970680237	Abedsyte	0.8021056652069092	Zmittag	0.7976604104042053	binenangere	0.7973626852035522	Samschtig	0.7967249155044556	Samschtizobe	0.7945129871368408	hingerenangere	0.7942118048667908	Sterr	0.7930623292922974
Abort	Aborte	0.8723321557044983	Abort,	0.8592267632484436	Aborts	0.8163621425628662	Aborte,	0.8040606379508972	Abortes	0.8035414814949036	Abort.	0.7917910814285278	Holzkeller	0.7653040885925293	Klosett	0.7652247548103333	Aborten	0.7612767815589905	Abortfrau	0.7605740427970886
Abstellkammer	Abstellraum	0.8624333143234253	Abstellraum,	0.8373778462409973	Rollkammer	0.8205348253250122	Stallkammer	0.8137882947921753	Mehlkammer	0.808739185333252	Pfandkammer	0.8016093969345093	Wiegkammer	0.7993273735046387	Küchenkammer	0.7925516963005066	Speisekammerschlüssel	0.7913612127304077	Kofferkammer	0.7878573536872864
Arbeitszimmer	Arbeitszimmern	0.9662045836448669	Arbeitszimmer,	0.9631352424621582	Arbeitszimmer;	0.9561865329742432	Privatarbeitszimmer	0.9488394260406494	Arbeitszimmer:	0.9463801980018616	Arbeitszimmer.	0.9424639344215393	Arbeitszimmers	0.9417468309402466	Arbeitszimmer!	0.9373666048049927	Arbeitszimmer?	0.9301883578300476	Schreibzimmer	0.9289253354072571
Attika	Attikas	0.9165205955505371	Attika,	0.9037043452262878	Sparta	0.8610715270042419	Attika;	0.857125461101532	Attikas,	0.8568735718727112	Kreta	0.8464773893356323	Peloponnesus	0.8435629606246948	Attika.	0.840563178062439	Böotien	0.8381394743919373	Heraklea	0.8374950289726257
Bad	Bad,	0.8904945850372314	Bade	0.8174140453338623	Brunnenkur	0.795598030090332	Fußwasser	0.7940877676010132	Dampfbad	0.7899394631385803	Morgenbad	0.7892342209815979	Bad.	0.7820951342582703	Badesalz	0.781063437461853	Stillwasser	0.7761396765708923	Annenbad	0.7750040292739868
Badewanne	Badewanne,	0.9542906880378723	Badewanne;	0.9179002642631531	Badewannen	0.9079827070236206	Badewanne.	0.9033641219139099	Badewanne.«	0.8741796016693115	Waschschüssel	0.8726849555969238	Badewanne!	0.8687596917152405	Badewannen,	0.8683181405067444	Wanne	0.8665390610694885	Gummibadewanne	0.8611775040626526
Badezimmer	Badezimmer,	0.9632643461227417	Badezimmern	0.9577906131744385	Badezimmer;	0.943691074848175	Badezimmern,	0.9322466850280762	Badezimmer.	0.9302847981452942	Badezimmers	0.9156133532524109	Badezimmer.«	0.9010095000267029	Badezimmertür	0.8835174441337585	Waschzimmer	0.8833916187286377	Badezimmers,	0.8750076293945312
Balkon	Balkon,	0.9186352491378784	Balkonfenster	0.8901947736740112	Balkonplatz	0.882533848285675	Balkonfenster,	0.878985583782196	Balkons	0.8723072409629822	Balkonloge	0.8652186989784241	Altan	0.8611558675765991	Altane	0.8569520711898804	Balkonwand	0.8558417558670044	Terrasse	0.853696346282959
Bank	Bank,	0.9235585927963257	Rentenbank	0.8430842757225037	Ladenbank	0.8211049437522888	Sodenbank	0.8180515766143799	Ewbank	0.8105847239494324	Gartenbank	0.805308997631073	Bodenbank	0.8027132749557495	Bank.	0.8024036288261414	Parkbank	0.7991269826889038	Armenbank	0.7988650798797607
Beistelltisch	Schalterdienst	0.8039995431900024	Gesindetisch	0.7890845537185669	Kammerrichter	0.7857730388641357	Kanzleitisch	0.7794337868690491	Verwalterstelle	0.775234043598175	Unterverwalter	0.7713946104049683	Oberhofrichter	0.7683613300323486	Treuhändern	0.7679357528686523	Kammerrichter,	0.7673012614250183	Oberschenken	0.7663531303405762
Bett	Bett,	0.9055126309394836	Bette	0.8961536288261414	Bette,	0.8628414869308472	Bett.	0.8614304661750793	Bett;	0.8437273502349854	Spitalbett	0.8293983936309814	Rollbett	0.8282523155212402	Gastbett	0.8176249265670776	Rollbette	0.8173235654830933	Gastbette	0.8171190023422241
Bettes	Bettes,	0.9340022802352905	Fußende	0.9028569459915161	Kopfende	0.8745922446250916	Ruhebettes	0.8652204871177673	Bettes.	0.849448025226593	Bettvorhanges	0.8383357524871826	Gastbettes	0.8318026661872864	Bettes;	0.8302660584449768	Ruhebettes,	0.8260873556137085	Sessels	0.8243046998977661
Büchergestell	Büchergestell,	0.9773504137992859	Büchergestelle	0.964933454990387	Büchergestells	0.964198648929596	Büchergestell.	0.9553440809249878	Büchergestelle,	0.9500659704208374	Büchergestellen	0.9311776161193848	Büchergestellen,	0.9191451668739319	Bücherregal,	0.8864330649375916	Bücherregal.	0.88264399766922	Bücherregal	0.8798580169677734
Bücherregal	Bücherregal,	0.9800349473953247	Bücherregal.	0.9757013320922852	Bücherregale	0.971053957939148	Bücherregals	0.967484176158905	Bücherregalen	0.9629853367805481	Bücherregale,	0.9535149931907654	Bücherregalen,	0.9419820308685303	Bücherregale.	0.941012442111969	Bücherregalen.	0.9272570610046387	Bücherrepositorien	0.9057779312133789
Büro	Büro,	0.9044986367225647	Bürozimmer	0.876046359539032	Bureau	0.8746086359024048	Privatkontor	0.8691554665565491	Privatbüro	0.8649982213973999	Büro.	0.8617696166038513	Redaktionsbüro	0.8548580408096313	Geschäftsbureau	0.8537933826446533	Privattelephon	0.8511176705360413	Geschäftsbüro	0.8485665917396545
