Sachsenberg	233
Leroy-Beaulieu	233
Wolfratshausen	232
Santolino	232
Meisdorf	230
Eschberg	230
Lövsee	230
Moosgraben	229
Venosa	229
Altenberg	229
Bärengraben,	228
Bruchhausen	228
Steinibach	228
Ebersdorf	228
Pagliano	227
Santa-Croce	227
Montanara	226
Gendorf	226
Altenhausen,	224
Colantonio	224
Pezzana	224
Agnetendorf	224
Filles-du-Calvaire	224
Eschelbach	223
Schlierbach	223
Markdorf	223
Chiazza	223
Pouqueville	223
Verneville	223
Kallenberg	222
Grafenberg	222
Francesco	222
Pietro	222
Rochefontaine	222
Wolfshausen	221
Gabelspitze	221
Gerolzhofen	221
Enzersdorf	221
Canestrini	221
Plettenberg	220
Grisheim	220
Sinsheim	220
Campocologno	220
Bertinoro	220
Antenkogel	219
Dossenbach	219
Stubbendorf	219
Hardehausen	218
Latouche-Tréville	218
Alpengletscher	217
Langenberg	216
Schwalenberg	216
Francoise	216
Santangiolo	216
Giovanni	216
Castello	216
Raigecourt	216
Deesenberg	215
Kollenberg	214
Blonhofen	214
Foiano	214
Mahrdorf	213
Eigergletscher	213
Schrattenbach	212
Sablière	212
Walsdorf	212
Wiepersdorf	212
Navailles	212
Schmalzberger	211
Roche-Hugon,	211
Tettnanger	210
Hollbach	210
Hessenthal	210
Brennerberg	209
Guidantonio	208
Scharndorf	207
Plessenberg	207
Porzio	207
Mühlengrabenweesche	206
Gunzenhausen	206
Fornogletscher	206
Bellaccio	206
Münch-Bellinghausen	206
Hirschbach	205
Bruckhausen	205
Bayersdorf	205
Montecassino	205
Triesdorf	205
Mariendorf	205
Rougeville	205
Arensdorf	205
Dittersbach	204
Nagelspitze	204
Wenernsee	204
Papenberg	204
Recklinghausen	204
Hirschengraben	203
Schwarzeneck	203
Arnbach	203
Oberlandjägermeister	203
Hohenhausen	203
Rupberg	202
Schlossgraben	202
Bielsteinwald	202
Gidelsbach	202
Annweiler	202
Woldenberg	202
Sorano	202
Coleville	202
Goarshausen	201
Saints-Pères	201
Giano	201
Jühnsdorf	201
Hohenstein-Ernstthal	200
Horselberg	200
Beuzeville	200
Miesenbach	199
Rickenbach	199
Rönnstein	199
Selbach	199
Arenberg	199
Bruneville	199
Merkendorf	199
Béthincourt	198
Planche-Mibrai	198
Vilshofen	198
Beaucourt	198
Weggraben	197
Wenersee	197
Pagenkopf	197
Schultze-Naumburg	197
Pleisweiler	197
Fontaine-Martel	197
Beauséjour	197
Saint-Vincent	197
Tours-Minières	197
Mühlgraben	196
Rensenheim	196
Reichenberg	196
Schwarzenberg	196
Stockelsdorf	196
Rittershausen	196
Capodiponte	196
Monteleone	196
Civitacastellana	196
Hauzenberg	195
Altfeldsdorf	195
Hüttendorf	195
Burtenbach	195
Erdmannsdorf	195
Mellenberg	194
Rochefontaine,	194
Hessenberg	193
Fegersheim	193
Domodossola	193
Merville	193
Ottstedt	193
Popincourt	193
Fuchsmühle	192
Mühlenberg	192
Hohofen	192
Santuario	192
Fiorentino	192
Sachslerberg	191
Gerlensbach	191
Gerhausen	191
Haichenbach	191
Dörenberg	191
Beaulignon	191
Schwarzenbruch	190
Poppelsdorf	190
Grindelwaldgletscher	190
Huneberg	190
Capacelatro	190
Meilleraie	190
Bocksgrabenbach	189
Talgletscher	189
Morano	189
Champenoise,	189
Nollendorf	188
Dietzenhof	188
l'Espinasse,	188
Chaboisseau	188
Karlsberg	187
Lemierre	187
Rovezzano	187
Hegnenbach	186
